Eastern Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Boston Celtics,62.7,19.3,.765,0.42,-1.41,10.10,34-10,29-9,71-11,54-28,100.0%,97.3%,97.1,2.7,0.2,,,,,,,100.0,,,,,,,57.8%,40.3%
Philadelphia 76ers,55.8,26.2,.680,-1.05,-0.20,7.22,29-13,27-13,65-17,45-37,100.0%,2.7%,2.7,68.4,19.4,6.9,2.2,0.4,,,,100.0,,,,,,,23.4%,12.7%
Milwaukee Bucks,51.9,30.1,.633,-1.17,0.94,3.06,31-13,21-17,62-20,41-41,99.8%,67.9%,0.2,17.7,39.9,24.3,12.5,4.1,0.7,0.3,,98.7,1.2,0.1,,,,,4.5%,1.3%
Cleveland Cavaliers,50.1,31.9,.611,-0.23,-0.65,3.74,26-16,24-16,61-21,39-43,99.4%,30.1%,0.1,6.2,20.6,29.4,28.1,11.5,2.5,1.1,,95.8,3.5,0.6,0.1,,,,5.3%,1.9%
New York Knicks,50.1,31.9,.611,-0.32,0.26,4.27,27-17,23-15,60-22,39-43,99.5%,,,4.8,17.9,31.4,31.0,10.8,2.6,1.1,,95.9,3.3,0.7,0.1,,,,6.1%,2.1%
Indiana Pacers,44.4,37.6,.542,-0.30,0.04,1.43,24-20,20-18,55-27,33-49,87.2%,1.9%,,0.1,1.1,3.2,10.1,26.4,30.1,16.2,,40.9,35.8,18.6,4.1,0.6,0.1,,1.3%,0.3%
Orlando Magic,44.6,37.4,.544,0.56,-1.69,0.84,23-21,22-16,55-27,34-48,87.7%,69.5%,,0.1,0.8,4.1,12.4,32.4,24.4,13.5,,49.8,28.4,17.6,3.4,0.7,0.1,,1.1%,0.2%
Miami Heat,42.0,40.0,.512,-0.97,0.23,-1.00,24-20,18-20,53-29,33-49,70.3%,30.4%,,,0.1,0.8,3.5,13.6,28.6,23.8,,17.9,22.8,41.8,13.7,2.9,0.8,,0.3%,
Chicago Bulls,38.2,43.8,.466,-0.22,-0.39,-1.66,21-24,17-20,48-34,28-54,29.6%,,,,,,0.1,0.8,8.3,20.4,,0.9,4.2,14.9,47.7,20.4,11.9,,0.1%,
Brooklyn Nets,34.8,47.2,.424,-0.18,0.10,-1.83,17-26,18-21,45-37,24-58,13.4%,,,,,,,0.1,1.8,11.5,,0.1,0.4,3.5,16.0,31.3,48.7,,0.1%,
Atlanta Hawks,34.2,47.8,.416,-0.09,0.05,-3.23,18-26,16-22,45-37,24-58,7.1%,0.1%,,,,,,,0.5,6.6,,,0.1,1.3,9.2,24.8,64.7,,,
Toronto Raptors,33.4,48.6,.408,0.08,-0.34,-1.94,16-28,17-21,44-38,23-59,6.1%,,,,,,,,0.5,5.5,,,0.1,0.9,5.8,19.4,73.7,,,
Charlotte Hornets,19.3,62.7,.236,-0.02,0.59,-11.04,10-32,9-31,30-52,12-70,,,,,,,,,,,,,,,,,100.0,,,
Washington Wizards,17.4,64.6,.212,-0.14,0.47,-9.68,7-36,10-29,28-54,8-74,,,,,,,,,,,,,,,,,100.0,,,
Detroit Pistons,14.5,67.5,.177,0.19,0.25,-9.99,5-39,10-28,25-57,5-77,,,,,,,,,,,,,,,,,100.0,,,
