Western Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Oklahoma City Thunder,57.8,24.2,.705,-0.02,-0.53,8.32,31-13,27-11,68-14,47-35,100.0%,62.5%,58.7,23.9,11.6,5.0,0.8,,,,,100.0,,,,,,,39.3%,19.8%
Minnesota Timberwolves,56.1,25.9,.684,0.30,-0.56,6.01,31-13,25-13,66-16,45-37,100.0%,26.0%,24.8,33.7,23.9,13.8,3.6,0.2,,,,100.0,,,,,,,19.5%,7.2%
Denver Nuggets,54.8,27.2,.668,0.23,-0.47,5.21,31-14,24-13,65-17,44-38,100.0%,11.5%,10.7,21.8,32.7,26.5,7.6,0.7,0.1,,,99.9,0.1,,,,,,13.4%,5.0%
Los Angeles Clippers,53.4,28.6,.651,-0.08,-0.02,5.80,28-14,25-15,64-18,43-39,100.0%,97.3%,5.6,18.8,25.6,35.1,12.8,1.8,0.2,0.1,,99.6,0.3,,,,,,15.7%,5.8%
New Orleans Pelicans,49.4,32.6,.603,-0.09,-0.04,4.87,26-18,23-15,60-22,38-44,98.7%,92.4%,0.2,1.8,5.8,17.7,54.6,12.7,3.8,2.1,,92.7,4.6,1.8,0.6,0.2,0.1,,9.0%,3.0%
Phoenix Suns,44.8,37.2,.546,-1.18,1.24,1.23,26-18,19-19,56-26,35-47,75.4%,1.5%,,0.1,0.2,0.8,8.5,30.3,21.2,14.3,,39.9,23.6,16.5,10.5,5.5,4.0,,1.1%,0.1%
Sacramento Kings,44.1,37.9,.538,0.28,0.69,0.89,24-18,20-20,55-27,33-49,70.1%,1.1%,,,0.2,0.8,6.4,25.3,21.1,16.3,,32.7,23.2,18.7,12.3,7.9,5.3,,0.8%,0.1%
Dallas Mavericks,42.5,38.5,.525,-0.01,0.18,0.31,24-20,19-18,53-28,32-49,57.9%,5.9%,,,0.1,0.3,3.5,16.1,20.5,17.4,,19.9,21.5,21.1,15.8,11.2,10.6,,0.5%,
Golden State Warriors,39.5,40.5,.494,0.96,-0.70,0.52,19-22,20-19,51-29,29-51,31.7%,0.1%,,,,0.1,1.0,5.0,11.0,14.7,,6.0,9.6,13.1,16.1,17.5,37.7,,0.3%,
Houston Rockets,40.6,41.4,.495,0.57,-0.54,0.75,20-23,21-18,51-31,29-53,32.6%,1.7%,,,,,0.9,4.7,11.2,15.8,,5.6,9.1,13.6,18.2,19.4,34.1,,0.4%,
Los Angeles Lakers,39.5,42.5,.482,0.49,0.39,-0.56,22-23,18-19,50-32,30-52,20.6%,,,,,,0.2,2.4,6.8,11.2,,2.6,5.1,9.2,15.0,20.5,47.6,,0.1%,
Utah Jazz,38.3,42.7,.473,0.50,0.44,-1.57,22-23,16-20,49-32,28-53,13.1%,,,,,,0.1,0.9,4.1,8.0,,1.0,3.0,6.0,11.3,17.5,61.1,,0.1%,
Memphis Grizzlies,32.2,49.8,.392,0.50,-0.09,-4.63,17-27,15-23,43-39,22-60,0.1%,,,,,,,,,0.1,,,,,0.2,0.4,99.4,,,
Portland Trail Blazers,23.5,58.5,.286,0.42,1.03,-8.60,13-31,10-28,33-49,15-67,,,,,,,,,,,,,,,,,100.0,,,
San Antonio Spurs,18.2,63.8,.223,0.56,0.85,-8.78,8-36,10-28,29-53,10-72,,,,,,,,,,,,,,,,,100.0,,,
